ORDEN_PLANEADO;EXCLUIR_CUENTA_UNICA;EPICA;SDATOOL;FEATURE;DELIVERABLE;LINKJIRA;NOMBRE_PROYECTO;DOMINIO;PROGRAMA;SPRINT_(VP);TIER;PLAN(Portafolio);TAG_(MP);TECNOLOGÍA;COMPLEJIDAD;GREMIO_(DIRECCIÓNSYSTEM);DIRECCIÓN_SYSTEM_(4);PORTAFOLIO_PLAN_ASCENSO;PLAN_MERCURIO;PLAN_AREA_REVIEW;COMITÉ_(VP);DIRECCIÓN_DE_INGENIERIA;TIPOS_De_MANTENIMIENTO;CATEGORIADELPROYECTO;TIPO(EMC-OTROS);EMCCOMPROMETIDO;FECHAREPLANIFICACIÓN;FECHAREPLANIFICACIÓN2;FECHAREPLANIFICACIÓN3;MOTIVOREPLANIFICACIÓN;TIPODEMETODOLOGÍA;PROGRAMINCREMENT;TYPEOFDELIVERY;SERVICEOWNER;LIDERTECNICO;PROGRAMMANAGER;PO-OWNER;TECHMANAGER;ARQUITECTURA;CORPORATESECURITY;TDM;TALENTOBBVA;TALENTOEXTERNO;RATIOSTAFFING;"PRESUPUESTO
(PRESUPUESTADO)(Capex)";"PRESUPUESTO
(COMPROMETIDO)
(Capex)";PRESUPUESTOREALIZADO(Capex);PRESUPUESTODISPONIBLE;PAYBACK;VALORDERETORNO;COMENTARIOSEGUIMIENTO;CREACIONCOMENTARIO;ACTUALIZACIÓNCOMENTARIO;AVANCEREAL;AVANCETEORICO;DESVIACIÓN;ESTADO;INDICADOR
2;PLANEADO;E2E-51791;33065;CCIBS-320;;https://globaldevtools.bbva.com/jira/browse/CCIBS-320;Renovación remesas del exterior en canales BBVA;CIB;5.Productos_CORE;;Tier 2;4.Cross_Sell;;Sin Dato;Sin dato;Banking Applications System;;;;;CIB;1.Systems_Engineering;2.Proyecto;;1.EMC;2022-Q2;22/11/2021;;;Construcción;Unknown;2022-Q2;Customer Delivery;john.ardila;sebastian.martinez.jaramillo;;geraldine.martinez.contractor;;;;;;;;1Q;SYSTEMS;$ 32.392.151;$ 0;;; En validación de  CONTROL- M distribuido para realizar ajuste indicado por CCR México. Por parte de cuentas y netcash. ;29/04/2022;29/04/2022;;;;Deployed;1. A Tiempo
4;PLANEADO;E2E-41896;31457;CCIBS-351;;https://globaldevtools.bbva.com/jira/browse/CCIBS-351;DealCoampare_Front_Fase_1;CIB;4.Transformación_de_la_Red;;Tier 3;8.Normativos;;Sin Dato;Sin dato;Subsidiary-Corp.Functions-Riesgos-CIB;;;;;CIB;1.Systems_Engineering;2.Proyecto;;3.Otros;;18/03/2022;;;Infraestructura;Unknown;2022-Q2;Enabler Delivery;mairanela.ramirez.salazar;alfredojose.pertuz;;geraldine.martinez.contractor;;;;;;;;DESLIZADOS;SYSTEMS;$ 25.874.561;$ 0;;;" 

EMC 1, tiene como objetivo subir los componente visuales del aplicativo (Cells) el cual tiene como fecha el 12 mayo en producción.

	   Certificado.



EMC 2, se entregara la BD y los jobs de parametria y lectura de insumos con fecha estimada para el 27 may.

	   Se encuentra en trámite para instalar en QA, se ha presentado dificultad debido a que las personas que instalan no tienen un usuario para realizar el despliegue.



EMC 3, el cual completa los demás componentes para tener aplicativo ";29/04/2022;29/04/2022;;;;In Progress;2. Atrasado
6;PLANEADO;E2E-65631;34598;CCIBS-442;;https://globaldevtools.bbva.com/jira/browse/CCIBS-442;Macros Procesos de Negocio - Blotter;CIB;4.Transformación_de_la_Red;;Tier 3;17.Otros;;Sin Dato;Sin dato;Subsidiary-Corp.Functions-Riesgos-CIB;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;28/02/2021;;;Cliente - Definición;Unknown;2022-Q2;Enabler Delivery;mairanela.ramirez.salazar;alfredojose.pertuz;;geraldine.martinez.contractor;;;;;;;;1Q;SYSTEMS;$ 100.221.937;$ 0;;;"

	El EMC 1 fue certificado por los usuarios y se espera instalar el viernes 6 de mayo
	El EMC 2 se encuentra en documentación de campos, esta actividad se estima cerrar el 6 de mayo.

";29/04/2022;29/04/2022;;;;Test;2. Atrasado
8;PLANEADO;E2E-99639;36689;CCIBS-473;;https://globaldevtools.bbva.com/jira/browse/CCIBS-473;PAGOS_BOTON_PSE_FX;CIB;1.Ventas_Digitales;;Tier 1;4.Cross_Sell;;Sin Dato;Sin dato;Subsidiary-Corp.Functions-Riesgos-CIB;;;;;CIB;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;Cliente - Definición;Unknown;2022-Q3;Customer Delivery;mairanela.ramirez.salazar;alfredojose.pertuz;;geraldine.martinez.contractor;;;;;;;;1Q;SYSTEMS;$ 448.141.117;$ 0;;;" Estatus proyecto PSE
Avance 73% 69%
Tareas Semana:

	Pruebas unitarias del proceso batch de la reclasificación enlace BT y ACH 
	Gestión con MX de adecuación de índices servicios PSE
	Sesión con ACH para adecuación y validaciones con el usuario de pruebas
	Pruebas de no afectación giros
	Pruebas del servicio del blotter de PSE en NETCASH
	Sesiones parametría contable BT con Edgar Ibañez y Btsystem
	Pruebas unitarias interface PSE con BT
	Pruebas de flexibilización servicio de comisiones Vs BT

";29/04/2022;29/04/2022;;;;In Progress;2. Atrasado
10;PLANEADO;E2E-3941;9653;CCS1-177;;https://globaldevtools.bbva.com/jira/browse/CCS1-177;Ajuste logs Tantia;Regulation & Internal Control;7.Otros;;Tier 3;8.Normativos;;Sin Dato;Baja;Subsidiary-Corp.Functions-Riesgos-CIB;;;;;;1.Systems_Engineering;2.Proyecto;7.Otros;1.EMC;2022-Q1;;;;;Waterfall;2022-Q1;Enabler Delivery;vm.jimenez;alcibiades.rodriguez;;diegofernando.uribe;;;;;;;;;;;;;;" Se realizó el paso a producción y pruebas en oficina sin inconvenientes
13/01/22: Paso a comité gestión de cambios Enero 19/22. Instalación Enero 20/22
7/01/22: Solicitud VoBo. 
29/12/22: Se realizaron pruebas en ambiente de calidad exitósamente. Próxima semana se realizarán pruebas en ambiente de preproducción
Proyecto no requiere perfilado
24/12/21: Asignado tester, en proceso de certificación
17/12/21: Enviado a calidad para la certificación correspondiente
10/12: En pruebas unitarias. Se pr";24/03/2022;29/03/2022;;;;Deployed;2. Atrasado
12;PLANEADO;E2E-130144;37914;CCS1-257;;https://globaldevtools.bbva.com/jira/browse/CCS1-257;Aplicacion de pagos pending automaticos PSE en MP;Engineering;;;Tier 2;;;;;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q3;Customer Delivery;carlos.barreto;heidy.bernal;;heidy.bernal;;;;;;;;;;;;;;En Sancion Tecnica ;28/04/2022;28/04/2022;;;;Test;1. A Tiempo
14;PLANEADO;E2E-93995;36282;CCSS-11713;;https://globaldevtools.bbva.com/jira/browse/CCSS-11713;Dirección de entrega de Tarjetas;Client Solutions;7.Otros;;Tier 1;3.Credit_Cards;5.Otros;Sin Dato;Sin dato;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;7.Otros;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;manuel.villamil;cesar_gomez;;INGRID VANESSA ORTIZ VERANO;;;;;;;;;;;;;; Se instaló en Producción el 22-04-2022. Pendiente Instalar version NACAR para otra funcionalidad de tarjeta debito. se implelentó solucion tactica por 3270 en el entretanto.;28/04/2022;28/04/2022;;;;Test;1. A Tiempo
16;PLANEADO;E2E-66436;34778;CCSS-12256;;https://globaldevtools.bbva.com/jira/browse/CCSS-12256;Adelanto de venta Fase 2;Client Solutions;2.Pymes/Empresas;Pymes;Tier 3;;;Sin Dato;Sin dato;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q3;Customer Delivery;hernan.riveros;lizethandrea.pico;;irene.angel;;;;;;;;;;;;;;" En desarrollo de acuerdo al plan, Se finaliza la entrega del proyecto a Oscar Mesa del equipo de Net Cash De la fase 1 aun está pendiente el alta del producto, a continuación estado de los casos detectados en pruebas con clientes

	Caso 1 - Cliente Hermanos Garcia Gomez S.A, se presentó pantalla de Desembolso exitoso pero se presentó fallo porque este cliente no pasó la validación en CIFIN al final del flujo de préstamos, se realizó el ajuste y se pasa a calidad hoy 29/04/2022, ya que debe incl";29/04/2022;29/04/2022;;;;In Progress;1. A Tiempo
18;PLANEADO;E2E-47093;32407;CCSS-12768;;https://globaldevtools.bbva.com/jira/browse/CCSS-12768;PAGARÉ DIGITAL;Client Solutions;2.Pymes/Empresas;;Tier 1;6.Higth_Priority_Initiative;2.Generación_de_Ingresos;;;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;1.Software_Aplicativo;1.EMC;2022-Q2;;;;;Unknown;2022-Q2;Functional;hernan.riveros;irene.angel;;irene.angel;;;;;;;;;;;;;;rio;;20/04/2022;;;;Ready To Verify;1. A Tiempo
20;PLANEADO;E2E-136543;38529;CCSS-12818;;https://globaldevtools.bbva.com/jira/browse/CCSS-12818;"Renovación ATM;s 2Q";Client Solutions;;;Tier 1;;;;;;;;;;;;;;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;;edna.salas;;ferney.guzman;;;;;;;;;;;;;;rio;;29/04/2022;;;;New;Estado New
22;PLANEADO;E2E-136559;38531;CCSS-12819;;https://globaldevtools.bbva.com/jira/browse/CCSS-12819;Expansión ATMs 2Q;Client Solutions;;;Tier 1;;;;;;;;;;;;;;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;;edna.salas;;ferney.guzman;;;;;;;;;;;;;;rio;;29/04/2022;;;;New;Estado New
24;PLANEADO;E2E-134420;38427;CCSS-4448;;https://globaldevtools.bbva.com/jira/browse/CCSS-4448;Automatización de operaciones en efectivo;Client Solutions;2.Pymes/Empresas;Transversal;Tier 3;;;;;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;Cliente - Definición;Unknown;2023-Q1;Customer Delivery;william.vargas;sebastian.martinez.jaramillo;;INGRID VANESSA ORTIZ VERANO;;;;;;;;;;;;;;"

Proyecto en etapa de desarrollo, y creación de tablas DB2.";29/04/2022;29/04/2022;;;;In Progress;1. A Tiempo
26;PLANEADO;E2E-2989;9053;CCSS-4687;;https://globaldevtools.bbva.com/jira/browse/CCSS-4687;Bloque 3 - Transaccionalidad: Pagos, Transferencias, Recargas y Otras Operaciones;Client Solutions;;;Tier 1;;;;;Retail System;;;;;;;;;1.EMC;2022-Q2;;;;;Agile;2022-Q2;Customer Delivery;carlos.barreto;aura.castellanos;;geraldine.martinez.contractor;;;;;;;;;;;;;;rio;;29/04/2022;;;;New;Estado New
28;PLANEADO;E2E-50445;32991;CCSS-5044;;https://globaldevtools.bbva.com/jira/browse/CCSS-5044;Access Fee en ATMs;Client Solutions;3.Liderazgo_Digital;;Tier 2;17.Otros;;Sin Dato;Sin dato;Retail System;;;;;;1.Systems_Engineering;2.Proyecto;;1.EMC;2022-Q1;21/02/2022;;;Ente Externo;Unknown;2022-Q1;Customer Delivery;joe.valenzuela;Rafael Antonio Lopesierra;;vickyalexandra.mora;;;;;;;;1Q;SYSTEMS;$ 79.999.935;$ 0;;;"ealiza despliegue de 300 ATM en la madrugada de hoy de manera satisfactoria, para un total de 390 máquinas con Versión 17.4

David Leonardo Obando Cortes ";27/04/2022;27/04/2022;;;;Test;2. Atrasado
30;PLANEADO;E2E-66993;34910;CCSS-5190;;https://globaldevtools.bbva.com/jira/browse/CCSS-5190;Libranza Digital - Flujo libre inversión;Client Solutions;1.Ventas_Digitales;Vinculación_&_Empleados;Tier 1;1.Catch_Up;;Ether;Alta;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;1.EMC;2022-Q2;23/02/2022;;;Construcción;Unknown;2022-Q2;Customer Delivery;maritza.guerrero;maritza.guerrero;;brigitteyesenia.beltran;;;;;;;;1Q;SYSTEMS;$ 50.000.000;$ 0;;; Postproducción, En proceso de enviar a gestcam para la instalación la próxima semana Piloto(alcance de cambio tarifas de seguros, ajuste en dos reportes de riesgos), ajustes de Cells para archivo agendamiento(Hoy instalación broadcast), incorporación al equipo de una persona de cells para atender temas productivos y  temas de Entregable 2;29/04/2022;29/04/2022;;;;Ready to Deploy;2. Atrasado
32;PLANEADO;E2E-62018;34157;CCSS-5346;;https://globaldevtools.bbva.com/jira/browse/CCSS-5346;Evolutivo Parthnership - Crédito en punto de venta de Aliados;Client Solutions;1.Ventas_Digitales;;Tier 3;;;;;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q2;Enabler Delivery;carlosalberto.barreto;maritza.guerrero;;sandra.espinosa;;;;;;;;1Q;SYSTEMS;$ 135.958.999;$ 0;;; Calidad, se encuentra cerrando sanción técnica,  sin bloqueantes vamos segun el plan entregado;1/04/2022;29/04/2022;;;;Ready to Deploy;1. A Tiempo
34;PLANEADO;E2E-62018;34157;CCSS-5347;;https://globaldevtools.bbva.com/jira/browse/CCSS-5347;Evolutivo Predictor de Ingresos en Proyecto Crédito en Punto de Venta de Aliados;Client Solutions;1.Ventas_Digitales;;Tier 1;;;Ether;Media;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;17/12/2021;;;Cliente - Definición;Unknown;2022-Q1;Customer Delivery;carlosalberto.barreto;edgar.rey;;judy.prieto;;;;;;;;DESLIZADOS;SYSTEMS;$ 13.726.007;$ 0;;;" INSTALADO Se da cierre técnico al proyecto, pendiente reinicio de oferta con el aliado a partir del 2 de marzo de 2022.

16/02/2022
Implementación predictor: Instalò el 5 de febrer em produccion
Clientes Revinculados:Se instala el 17 de Febrero en Produccion

10/02/2022
Implementación predictor: Se realizó la instalación el día 5 de febrero.
Clientes Revinculados:Tema certificado y planificado para comite de cambios para instalar.
Se presenta incidencia productiva que está solucionandose, falla";24/03/2022;28/04/2022;;;;Deployed;1. A Tiempo
36;PLANEADO;E2E-3028;9072;CCSS-5547;;https://globaldevtools.bbva.com/jira/browse/CCSS-5547;CONTRATACIÓN ÁGIL DE PRODUCTOS -CAP OMISION ETAPAS Y RADICACIÓN AUTOMÁTICA ;Client Solutions;4.Transformación_de_la_Red;Vinculación_&_Empleados;Tier 2;17.Otros;;Sin Dato;Sin dato;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;1.EMC;2022-Q1;;;;Cambio de prioridad Usuario;Waterfall;2022-Q1;Customer Delivery;david.robayo;lyda.cabanzo;;astrid.ramirez;;;;;;;;;;;;;; En ambiente de calidad: Se presenta alcance para el paso producción por deficiones de manejo de indicativos 600. Adicional se esta validando con el área usuaria flujos de BPM para el correcto funcionamiento de la retoma de las etapas. Pendiente de definir de acuerdo a lo último estipulado la fecha de paso a producción. ;28/04/2022;28/04/2022;;;;Test;1. A Tiempo
38;PLANEADO;E2E-70116;35384;CCSS-5766;;https://globaldevtools.bbva.com/jira/browse/CCSS-5766;Gestión Documental Pymes;Client Solutions;4.Transformación_de_la_Red;Pymes;Tier 3;;5.Otros;Sin Dato;Sin dato;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;diego.sinisterra;gloria.hernandez;;astrid.ramirez;;;;;;;;1Q;SYSTEMS;$ 149.864.537;$ 0;;;e realiza socialización con usuario de cara a validar la integración del proyecto en donde se valida consulta de GD por caso y documento. Se plantea nuevo acercamiento para pruebas la semana entrante. Sin embargo, se informa una alerta relacionada con la información de estados de documentos que no informa el servicio global, lo cual impacta el proyecto y se establece realizar mesas de análisis y de trabajo para solventar dicha novedad que infiere en una replanificación del proyecto. replanificac;28/04/2022;28/04/2022;;;;In Progress;1. A Tiempo
40;PLANEADO;E2E-60505;33942;CCSS-5994;;https://globaldevtools.bbva.com/jira/browse/CCSS-5994;Vehículo Digital Fase 3-Flujo en BPM;Client Solutions;1.Ventas_Digitales;Consumo_&_Partnerships;Tier 3;9.Open_Market+Partnerships;;Sin Dato;Sin dato;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;1.EMC;2022-Q2;;;;;Unknown;2022-Q2;Customer Delivery;carlosalberto.barreto;gloria.hernandez;;diegoandres.rodriguez;;;;;;;;;;;;;;Proyecto instalado en producción. En seguimiento post-implantación.;28/04/2022;28/04/2022;;;;Ready to Deploy;1. A Tiempo
42;PLANEADO;E2E-69419;35327;CCSS-6399;;https://globaldevtools.bbva.com/jira/browse/CCSS-6399;Parametria Informe Diario DIAN y Min Hacienda (Alcance);Client Solutions;5.Productos_CORE;;Tier 2;17.Otros;1.Normativo;Ether;Baja;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;;1.EMC;2022-Q2;;;;;Unknown;2022-Q2;Enabler Delivery;william.vargas;william.vargas;;Nelson Ruiz;;;;;;;;1Q;SYSTEMS;$ 42.665.341;$ 0;;; A tiempo en construcción.;24/03/2022;28/04/2022;;;;In Progress;1. A Tiempo
44;PLANEADO;E2E-77633;36047;CCSS-6765;;https://globaldevtools.bbva.com/jira/browse/CCSS-6765; Bloqueo   Sobregiro para  Pago Capital, Comisiones e Intereses;Client Solutions;6.Normativos;;Tier 1;8.Normativos;5.Otros;Ether;Alta;;;;;;;1.Systems_Engineering;2.Proyecto;7.Otros;1.EMC;2021-Q3;;;;;Unknown;2021-Q3;Functional;martin.torres;martin.torres;;geraldine.martinez.contractor;;;;;;;;;;;;;;to esta detenido, el Owner del aplicativo y de negocio a dado toda la prioridad a los proyecfos ISO20022 y DIAN cir-161;22/04/2022;29/04/2022;;;;Blocked;1. A Tiempo
46;PLANEADO;E2E-60568;33947;CCSS-7004;;https://globaldevtools.bbva.com/jira/browse/CCSS-7004;(CBs)Depositos Bancamía-Sinergias Bancamia;Client Solutions;4.Transformación_de_la_Red;Transformacion_de_la_Red;Tier 1;;;Ether;Alta;Retail System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;Cambio de prioridad Usuario;Unknown;2022-Q1;Customer Delivery;camilo.aguirre;Rafael Antonio Lopesierra;;erikajulieth.ruiz;;;;;;;;;;;;;;" En desarrollo la parte de la mensajería y la fase de los servicios se encuentra en certificación, pendiente de VoBo´s contables, caro y seguridad.
14/03/2022: BBVA culmina certificación de Depósitos en marzo/2022, Bancamía informa finalizar en Junio/2022 04/03/2022: Se crean sesiones de entendimiento con el Cb y BBVA continúa en certificación. 25/02/2022: El plan de trabajo por parte de Bancamia fue entregado, pendiente sincronizar planes de trabajo BBVA y Bmia.BBVA avanza en etapa de certifica";24/03/2022;27/04/2022;;;;Test;1. A Tiempo
